2001,@ajoyvaldez2856,13 hours ago,Mapagpalang araw Ng linggo mga kapatid ❤❤ pagbati Mula sa lokal Ng Ambiong ❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzoWSE4D-YD8eZoEW14AaABAg,UgzoWSE4D-YD8eZoEW14AaABAg,UCcJYRuhoAeAgOVzUzLgRdmg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3752,@PamangelaGarlitos,1 day ago,Shake it off! Team Benguet ❤Locale of Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzUxaJ0Odu89BexViB4AaABAg,UgzUxaJ0Odu89BexViB4AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3753,@PamangelaGarlitos,1 day ago,Feeling good all the time when singing this song❤Locale of Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx9gkTaJlV2tO4pkDF4AaABAg,Ugx9gkTaJlV2tO4pkDF4AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3754,@PamangelaGarlitos,1 day ago,Move it! We like to move it! Team Benguet ❤Locale of Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxgYliWBtS7woUL90R4AaABAg,UgxgYliWBtS7woUL90R4AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3755,@PamangelaGarlitos,1 day ago,Good feelings never stop❤Locale of Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgynEltK0_D-O_Ta1sd4AaABAg,UgynEltK0_D-O_Ta1sd4AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3756,@PamangelaGarlitos,1 day ago,Diyos ang ilaw sa lahat❤Locale of Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugygo7XaHUsgQwKRO8p4AaABAg,Ugygo7XaHUsgQwKRO8p4AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3757,@PamangelaGarlitos,1 day ago,Pag ibig Niya ay totoo❤Locale of Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwFeygmBVtaazYR_TJ4AaABAg,UgwFeygmBVtaazYR_TJ4AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3758,@PamangelaGarlitos,1 day ago,Manatiling masaya at masikap❤Locale of Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx9ripy5apX5zSrVep4AaABAg,Ugx9ripy5apX5zSrVep4AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3759,@ernestovaldez-s3b,1 day ago,Pagbati po mula sa lokal ng hillside Destrito ng Benguet happy viewing po inyong lahat mga kapatid,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwzmWZeXFPjIR-CcPJ4AaABAg,UgwzmWZeXFPjIR-CcPJ4AaABAg,UCJ9TeKl-glRPptCKIKGKk7Q,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3760,@almazanrhyndylyn,1 day ago,Lets Go Benguet 🍓🍓🍓 / Lets Go Kadiwa 💙💙💙 /  / Kunting push back pero babawi po uli. Pagsuporta po muli mula sa Lokal ng Norcar.,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyEC9w6pbOGrhlPTH94AaABAg,UgyEC9w6pbOGrhlPTH94AaABAg,UCEoQCNgytnJxjJnAQLSzFeA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3761,@PamangelaGarlitos,1 day ago,Ito'y nagbibigay liwanag sa puso't isip❤Locale of Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyNsvctQ19-SiqZTtV4AaABAg,UgyNsvctQ19-SiqZTtV4AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3762,@maryannfernandez9408,1 day ago,"Good evening po,watching po from Guisad Benguet.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgykSv208HAmtXs7qvd4AaABAg,UgykSv208HAmtXs7qvd4AaABAg,UC6QnYlqIsg0WPmOKL74vIPg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3763,@PamangelaGarlitos,1 day ago,I love this in upbeat❤Locale of Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzuhjKIsDIfMoRQ2aB4AaABAg,UgzuhjKIsDIfMoRQ2aB4AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3764,@ernestovaldez-s3b,1 day ago,Happy viewing po from lokal ng hillside Destrito ng Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw0oI3PjdrK8NzAXAR4AaABAg,Ugw0oI3PjdrK8NzAXAR4AaABAg,UCJ9TeKl-glRPptCKIKGKk7Q,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3765,@tinebautista96,1 day ago,Happy watching po from lokal ng Atok Gold♥️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwA4g0uQ6UE79JiW6p4AaABAg,UgwA4g0uQ6UE79JiW6p4AaABAg,UCGak0P6vxZDw2MBNGmDQjyg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3766,@PamangelaGarlitos,1 day ago,Stay positive and joyful! Locale of Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwCRngertgRoz7aVhd4AaABAg,UgwCRngertgRoz7aVhd4AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3767,@tinebautista96,1 day ago,Happy watching po from lokal ng Atok Gold♥️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxP60a94IXsFnqQtnB4AaABAg,UgxP60a94IXsFnqQtnB4AaABAg,UCGak0P6vxZDw2MBNGmDQjyg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3768,@tinebautista96,1 day ago,"Magandang gabi po sa lahat, maligayang panunuod po! / love from Atok Gold",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxZKRDbUMDnULCXJsZ4AaABAg,UgxZKRDbUMDnULCXJsZ4AaABAg,UCGak0P6vxZDw2MBNGmDQjyg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3769,@ernestovaldez-s3b,1 day ago,Let's go Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxO8Z1bvscY4DOD_IN4AaABAg,UgxO8Z1bvscY4DOD_IN4AaABAg,UCJ9TeKl-glRPptCKIKGKk7Q,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3770,@PamangelaGarlitos,1 day ago,Shine brighter🎉Locale of Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxA8iyayS59FzTNNOR4AaABAg,UgxA8iyayS59FzTNNOR4AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3771,@danielsangalang4416,1 day ago,BENGUET FIGHT FIGHT FIGHT!!!,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwMPpcCK87bZkyEcDl4AaABAg,UgwMPpcCK87bZkyEcDl4AaABAg,UCd83g5cGg_Es6Qyl02u7jdw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3772,@PamangelaGarlitos,1 day ago,We got the feeling❤Locale of Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxZj3QGQ0N4VR9BpDN4AaABAg,UgxZj3QGQ0N4VR9BpDN4AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3773,@gwynethcayabyab5981,1 day ago,Goodnight po sa lahat ng kapatid / Bukas po ulit patuloy po sumupporta  / Mula sa kadiwa🎉,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwvZIjnlCvA1rMhWhd4AaABAg,UgwvZIjnlCvA1rMhWhd4AaABAg,UCouodNvhL1bfJC2Fz0B_Rcw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3774,@PamangelaGarlitos,1 day ago,Spread happiness everywhere! Locale of Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxLyd9wSWY3tD9VMXV4AaABAg,UgxLyd9wSWY3tD9VMXV4AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3775,@danielsangalang4416,1 day ago,Goo Baguio City!!!,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyAafxRNHbRaw2vvnZ4AaABAg,UgyAafxRNHbRaw2vvnZ4AaABAg,UCd83g5cGg_Es6Qyl02u7jdw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3776,@MajestyDaoa,1 day ago,😊😊😊😊Happy watching po mula sa lkaol ng Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzeP9nZHil7_Q0JNYB4AaABAg,UgzeP9nZHil7_Q0JNYB4AaABAg,UCnXLzoJab84PPGvKJAqWUbw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3777,@danielsangalang4416,1 day ago,Goo Benguet!!!,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz-d3VKin0yO5hT8xR4AaABAg,Ugz-d3VKin0yO5hT8xR4AaABAg,UCd83g5cGg_Es6Qyl02u7jdw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3778,@ernestovaldez-s3b,1 day ago,Go!!! Po Baguio city,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxacnatKCb2zcaXMHh4AaABAg,UgxacnatKCb2zcaXMHh4AaABAg,UCJ9TeKl-glRPptCKIKGKk7Q,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3779,@PamangelaGarlitos,1 day ago,Keep smiling every moment🎉Locale of Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzH-k80sSkLA7asPwR4AaABAg,UgzH-k80sSkLA7asPwR4AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3780,@geneprado-ro1lf,1 day ago,Purok 6 Baguio City Fight,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwEohgxC4Ja9h05IZ14AaABAg,UgwEohgxC4Ja9h05IZ14AaABAg,UC2Z9rmo043mQs6MJc9yF7XA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3781,@danielsangalang4416,1 day ago,Patuloy po ang pakikipag kaisa po naming nasa kapisanang KADIWA sa Lokal Ng Baguio City.,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyWOFO8Y9lTdzqTfbV4AaABAg,UgyWOFO8Y9lTdzqTfbV4AaABAg,UCd83g5cGg_Es6Qyl02u7jdw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3782,@tinebautista96,1 day ago,"Maligayang panunuod po mga kapatid, mula po sa lokal ng Atok Gold",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyTzkrbSAqM31-8hWB4AaABAg,UgyTzkrbSAqM31-8hWB4AaABAg,UCGak0P6vxZDw2MBNGmDQjyg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3783,@PamangelaGarlitos,1 day ago,Stay cheerful to win! Taraaa! ❤Locale of Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzN8H3eYQJ5316-uGt4AaABAg,UgzN8H3eYQJ5316-uGt4AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3784,@tinebautista96,1 day ago,"Maligayang panunuod po mga kapatid, mula po sa lokal ng Atok Gold",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzJbUw5ZXC3wQ-wd2B4AaABAg,UgzJbUw5ZXC3wQ-wd2B4AaABAg,UCGak0P6vxZDw2MBNGmDQjyg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3785,@danielsangalang4416,1 day ago,Good evening po. / Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzQE5M_uEIUA2LxFZh4AaABAg,UgzQE5M_uEIUA2LxFZh4AaABAg,UCd83g5cGg_Es6Qyl02u7jdw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3786,@geneprado-ro1lf,1 day ago,Happy viewing Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugye6SlhriOwnSYRe3N4AaABAg,Ugye6SlhriOwnSYRe3N4AaABAg,UC2Z9rmo043mQs6MJc9yF7XA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3787,@ernestovaldez-s3b,1 day ago,"Hillside, Benguet",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxEnScn6WusBzMjHuN4AaABAg,UgxEnScn6WusBzMjHuN4AaABAg,UCJ9TeKl-glRPptCKIKGKk7Q,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3788,@PamangelaGarlitos,1 day ago,Feel the happy energy🎉Locale of Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz5ZIqgljNWMpmqXJR4AaABAg,Ugz5ZIqgljNWMpmqXJR4AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3789,@PamangelaGarlitos,1 day ago,Bring the crowd up❤Locale of Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwv8S5NHSslR3b8yAN4AaABAg,Ugwv8S5NHSslR3b8yAN4AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3790,@daisycastaneda7972,1 day ago,"Magandang gabi po sa mga kapatid katatapos ng pamamahayag ,nood na uli  tayo at comment comment na , / Lokal ng BAGIUIO  city / Kalihjiman/Registry clerks",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwYJ6wz6Ha8SUaFwip4AaABAg,UgwYJ6wz6Ha8SUaFwip4AaABAg,UCD3NlGp4eLYcR2RGC7FwnKQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3791,@geneprado-ro1lf,1 day ago,Go go Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzTHlwmj5vlKRa1FDJ4AaABAg,UgzTHlwmj5vlKRa1FDJ4AaABAg,UC2Z9rmo043mQs6MJc9yF7XA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3792,@PamangelaGarlitos,1 day ago,What a lively performance! ❤Locale of Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzEvXI7O7IGKwqTJU14AaABAg,UgzEvXI7O7IGKwqTJU14AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3793,@PamangelaGarlitos,1 day ago,Try your best! Team Benguet! Locale of Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxPXptA-n0iQyWWm6R4AaABAg,UgxPXptA-n0iQyWWm6R4AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3794,@geneprado-ro1lf,1 day ago,Fight fight fight,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxjRTkN2DNNpTtW9Wh4AaABAg,UgxjRTkN2DNNpTtW9Wh4AaABAg,UC2Z9rmo043mQs6MJc9yF7XA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3795,@PamangelaGarlitos,1 day ago,Climb higher pa! Locale of Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy_Yypwx7n_vtNG2W94AaABAg,Ugy_Yypwx7n_vtNG2W94AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3796,@geneprado-ro1lf,1 day ago,Fight Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzAi7Pg4AVzLaSJn5N4AaABAg,UgzAi7Pg4AVzLaSJn5N4AaABAg,UC2Z9rmo043mQs6MJc9yF7XA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3797,@geneprado-ro1lf,1 day ago,Go Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgygSaMX07eCRRAThAR4AaABAg,UgygSaMX07eCRRAThAR4AaABAg,UC2Z9rmo043mQs6MJc9yF7XA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3798,@PamangelaGarlitos,1 day ago (edited),Multitasking effort tlga🎉Locale of Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwfmv5dLwfZPaneH654AaABAg,Ugwfmv5dLwfZPaneH654AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3799,@arlynsadsaddarnayla,1 day ago,"Go Benguet🎉🎉🎉 / 💚🤍❤️ / Mula po sa lokal ng Baguio City, full support!",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwJf2FIYLTSjzM0WYV4AaABAg,UgwJf2FIYLTSjzM0WYV4AaABAg,UCEpebcWdMuh8WoE06IwNIKA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3800,@haielei2869,1 day ago,Happy watching po. Pagbati po mula sa Lokal ng Norcar Distrito ng Benguet.,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwMKgnGrLy0K16-LKp4AaABAg,UgwMKgnGrLy0K16-LKp4AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3801,@haielei2869,1 day ago,Memorize na po ng Lokal Ng Norcar ang awit. Patuloy po kami sa pakikinig 🤗,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxPQR8QDNRHxFsv3lp4AaABAg,UgxPQR8QDNRHxFsv3lp4AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3802,@haielei2869,1 day ago,"Lets Go BENGUET. Matutulog na Top 1, gigising na Top 1.  / Greetings po mula sa mga binhi at ilaw ng NORCAR",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxRy1TGIAuMsHdqXWZ4AaABAg,UgxRy1TGIAuMsHdqXWZ4AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3803,@PamangelaGarlitos,1 day ago,"Story pa, may song pa❤Locale of Baguio City",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy0BRaQaqGy6PhYEjN4AaABAg,Ugy0BRaQaqGy6PhYEjN4AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3804,@haielei2869,1 day ago,Happy watching po. Pagbati po mula sa Lokal ng Norcar Distrito ng Benguet.,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy1oxYQHcP6TevmfwF4AaABAg,Ugy1oxYQHcP6TevmfwF4AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3805,@haielei2869,1 day ago,Present po ang Lokal ng Norcar. Patuloy po kami sa pagsubaybay.,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx_1qZ83Xxvb-pUg594AaABAg,Ugx_1qZ83Xxvb-pUg594AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3806,@haielei2869,1 day ago,Memorize na po ng Lokal Ng Norcar ang awit. Patuloy po kami sa pakikinig 🤗,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwSp1RomZqCwaD3Hc14AaABAg,UgwSp1RomZqCwaD3Hc14AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3807,@haielei2869,1 day ago,"Lets Go BENGUET. Matutulog na Top 1, gigising na Top 1.  / Greetings po mula sa mga binhi at ilaw ng NORCAR",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx1nMJhWeIpMcXRP7F4AaABAg,Ugx1nMJhWeIpMcXRP7F4AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3808,@haielei2869,1 day ago,Enjoy watching po. Good evening po sa ating II Tagapamahalang Pangkalahatan Ka Angelo Eraño Manalo at ang kanila pong buong sambahayan from Lokal ng Norcar po,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwMMnMVJGGZaA_NzuR4AaABAg,UgwMMnMVJGGZaA_NzuR4AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3809,@PamangelaGarlitos,1 day ago,Swabe ng acting🎉Locale of Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxRjtlH9NceG_jYw714AaABAg,UgxRjtlH9NceG_jYw714AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3810,@haielei2869,1 day ago,Enjoy watching po. Good evening po sa ating Tagapamahalang Pangkalahatan Ka Eduardo V. Manalo at ang kanya pong buong sambahayan from Lokal ng Norcar po,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwRzLpgkEZtfRWxTWp4AaABAg,UgwRzLpgkEZtfRWxTWp4AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3811,@haielei2869,1 day ago,Pabati po sa amin pong KSKP ng Distrito ang Kapatid na John Felix Dungan at sa kanya pong buong sambahayan mula po sa Lokal ng Norcar Distrito ng Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw1lJyHgevT4SyGtVl4AaABAg,Ugw1lJyHgevT4SyGtVl4AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3812,@haielei2869,1 day ago,Pabati po sa amin pong II Tagapangasiwa Ka Ian Manalata at sa kanya pong buong sambahayan mula po sa Lokal ng Norcar Distrito ng Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxyx9iri6utQ4k_Hqp4AaABAg,Ugxyx9iri6utQ4k_Hqp4AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3813,@haielei2869,1 day ago,Magandang Gabi po mga Kapatid. Pabati po sa amin pong Tagapangasiwa ng Distrito ang Kapatid na Ardy Mendoza at sa kanya pong buong sambahayan mula po sa Lokal ng Norcar Distrito ng Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzihL9chadpf5h-ox54AaABAg,UgzihL9chadpf5h-ox54AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3814,@PamangelaGarlitos,1 day ago,This feels like I'm in a rainbow! Locale of Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw7k0xOJyaR-IEZRGd4AaABAg,Ugw7k0xOJyaR-IEZRGd4AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3815,@JudiAn1928,1 day ago,Watch po ulit mga kapatid.  / Maulberry GWS-BENGUET,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxqjhQmLRbvMayQtFV4AaABAg,UgxqjhQmLRbvMayQtFV4AaABAg,UCGqdFBCwWWBUoa5ZHOD8aag,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3816,@haielei2869,1 day ago,"Lets Go BENGUET. Matutulog na Top 1, gigising na Top 1.  / Greetings po mula sa mga binhi at ilaw ng NORCAR",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgywVaczrbhfUnE2y1x4AaABAg,UgywVaczrbhfUnE2y1x4AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3817,@haielei2869,1 day ago,Memorize na po ng Lokal Ng Norcar ang awit. Patuloy po kami sa pakikinig 🤗,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxPjqOGkw-CEhMqUTJ4AaABAg,UgxPjqOGkw-CEhMqUTJ4AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3818,@haielei2869,1 day ago,"Lets Go BENGUET. Matutulog na Top 1, gigising na Top 1.  / Greetings po mula sa mga binhi at ilaw ng NORCAR",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx6sd72r78Nq-p-Nt94AaABAg,Ugx6sd72r78Nq-p-Nt94AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3819,@arlynsadsaddarnayla,1 day ago,"Go Benguet🎉🎉🎉 / 💚🤍❤️ / Mula po sa lokal ng Baguio City, full support!",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy215c8gSDkP7WrVBF4AaABAg,Ugy215c8gSDkP7WrVBF4AaABAg,UCEpebcWdMuh8WoE06IwNIKA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3820,@haielei2869,1 day ago,Memorize na po ng Lokal Ng Norcar ang awit. Patuloy po kami sa pakikinig 🤗,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzrf-ruR5l585XFwPp4AaABAg,Ugzrf-ruR5l585XFwPp4AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3821,@PamangelaGarlitos,1 day ago,District of Benguet! Here we go! ❤Locale of Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzyH74WsK1vn5hM7L14AaABAg,UgzyH74WsK1vn5hM7L14AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3822,@haielei2869,1 day ago,Memorize na po ng Lokal Ng Norcar ang awit. Patuloy po kami sa pakikinig 🤗,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwDl2uJGA4T5oIYv-F4AaABAg,UgwDl2uJGA4T5oIYv-F4AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3823,@aireencosme,1 day ago,Happy watching po😊,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy7LdaCJzBRlheUo3J4AaABAg,Ugy7LdaCJzBRlheUo3J4AaABAg,UCFUdib0cwYATwdimy3LceeQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3824,@PamangelaGarlitos,1 day ago,This INCMV is magnificent ❤Locale of Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyZwpIbeK22gU5sUix4AaABAg,UgyZwpIbeK22gU5sUix4AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3825,@PamangelaGarlitos,1 day ago,This song was very impressive! Locale of Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwYDlPj59tuUDeP3yV4AaABAg,UgwYDlPj59tuUDeP3yV4AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
